Date,Category,Input,Crop,Location,Labor Cost,Input Cost,Total Cost,Description/Manufacturer,OMRI,Application Rate Amount,Application Rate Amount Units,Application Rate Amount Area,Total Cost For Amount,Total Cost For Amount Unit,Seeds Variety,Seeds Organic Treatment,Seeds Seed Company
30/12/2021,Transplants,בדרך הטבע,"Celery,Chives,Lettuce,Onions: Scallions,Parsley",,,₪977.00,₪977.00,,Yes,,,,₪977.00,,,,
28/12/2021,Transplants,מהגינה,Dill,,,₪200.00,₪200.00,,Yes,,,,₪200.00,,,,
20/12/2021,Transplants,מהגינה,"Cilantro,Parsley",,,"₪1,200.00","₪1,200.00",,Yes,,,,"₪1,200.00",,,,
20/12/2021,Transplants,בדרך הטבע,Basil,,,₪125.00,₪125.00,,Yes,,,,₪125.00,,,,
15/12/2021,Transplants,בדרך הטבע,Lettuce,,,₪500.00,₪500.00,,Yes,,,,₪500.00,,,,
08/12/2021,Transplants,בדרך הטבע,"Lettuce,Parsley,Spinach",,,₪730.00,₪730.00,,Yes,,,,₪730.00,,,,
06/12/2021,Transplants,מהגינה,Dill,,,₪200.00,₪200.00,,Yes,,,,₪200.00,,,,
23/11/2021,Transplants,בדרך הטבע,"Celery,Lettuce",,,₪600.00,₪600.00,,Yes,,,,₪600.00,,,,
23/11/2021,Transplants,מהגינה,"Cilantro,Dill,Onions: Scallions",,,₪800.00,₪800.00,,Yes,,,,₪800.00,,,,
14/11/2021,Fertilizers & Amendments,קרטין ברזל,,"Hydro,Hyd. N,Hyd. S",,₪100.00,₪100.00,,No,,Liters,,₪100.00,20.00 Liters,,,
14/11/2021,Pest & Disease,פרוביט,,,,₪334.00,₪334.00,,Yes,,Kilograms,,₪334.00,2.00 Kilograms,,,
14/11/2021,Transplants,בדרך הטבע,"Artichokes,Asparagus,Beets,Fennel",,,₪875.00,₪875.00,שדה,Yes,,,,₪875.00,,,,
14/11/2021,Transplants,בדרך הטבע,,"Hydro,Hyd. N,Hyd. S",,₪616.00,₪616.00,,Yes,,,,₪616.00,,,,
14/11/2021,Transplants,מהגינה,,"Hydro,Hyd. N,Hyd. S",,₪400.00,₪400.00,,Yes,,,,₪400.00,,,,
06/11/2021,Transplants,בדרך הטבע,"Celery,Cilantro,Lettuce",,,₪600.00,₪600.00,hyd.,Yes,,,,₪600.00,,,,
06/11/2021,Transplants,בדרך הטבע,"Asparagus,Celery,Rhubarb",,,₪630.00,₪630.00,שדה,Yes,,,,₪630.00,,,,
01/11/2021,Transplants,מהגינה,Lettuce,,,₪80.00,₪80.00,hyd.,Yes,,,,₪80.00,,,,
27/10/2021,Transplants,מהגינה,"Cilantro,Dill,Lettuce,Lovage,Onions: Scallions",,,"₪1,475.00","₪1,475.00",hyd.,Yes,,,,"₪1,475.00",,,,
19/10/2021,Transplants,בדרך הטבע,"Cress,Lettuce,Spinach",,,₪760.00,₪760.00,hyd.,Yes,,,,₪760.00,,,,
19/10/2021,Transplants,בדרך הטבע,"Beets,Celery,Kale",,,₪760.00,₪760.00,שדה!!!,Yes,,,,₪760.00,,,,
19/10/2021,Transplants,מהגינה,Parsley,,,₪240.00,₪240.00,hydro,Yes,,,,₪240.00,,,,
14/10/2021,Transplants,מהגינה,"Lettuce,Parsley",,,₪430.00,₪430.00,hyd.,Yes,,,,₪430.00,,,,
14/10/2021,Transplants,בדרך הטבע,"New Zealand Spinach,Cress",,,₪355.00,₪355.00,שדה,Yes,,,,₪355.00,,,,
10/10/2021,ציוד וכלים,ציוד השקייה ואינסטלציה,,"Hydro,Hyd. N,Hyd. S",,"₪2,216.00","₪2,216.00",ברזים ומחברים לשטיפה הפוכה ושדרוג סידור פילטרים,,,,,"₪2,216.00",,,,
07/10/2021,Fertilizers & Amendments,קרטין ברזל,,"Hydro,Hyd. N,Hyd. S",,₪100.00,₪100.00,,No,200.0,Milliliters,"1,000 sq. m",₪100.00,0.00 Milliliters,,,
06/10/2021,Transplants,מהגינה,"Chard,Cilantro,Onions: Scallions",,,₪360.00,₪360.00,,Yes,,,,₪360.00,,,,
06/10/2021,Transplants,בדרך הטבע,"Basil,Celery,Cilantro,Lettuce,Parsley,Spinach",,,₪980.00,₪980.00,,Yes,,,,₪980.00,,,,
23/09/2021,Labor,,Lettuce,,₪37.50,,₪37.50,,,,,,,,,,
23/09/2021,Labor,,Beets,,₪100.00,,₪100.00,,,,,,,,,,
23/09/2021,Labor,,Lettuce,,₪37.50,,₪37.50,,,,,,,,,,
23/09/2021,Labor,,Lettuce,,₪50.00,,₪50.00,,,,,,,,,,
23/09/2021,Transplants,בדרך הטבע,Lettuce,,,₪500.00,₪500.00,,Yes,,,,₪500.00,,,,
20/09/2021,Labor,,Dill,,₪25.00,,₪25.00,,,,,,,,,,
20/09/2021,Transplants,מהגינה,Dill,,,₪180.00,₪180.00,,Yes,,,,₪180.00,,,,
17/09/2021,Labor,,Strawberry,,₪50.00,,₪50.00,,,,,,,,,,
12/09/2021,Transplants,בדרך הטבע,"Cilantro,Kohlrabi,Parsley,Strawberry",,,"₪1,288.00","₪1,288.00",,Yes,,,,"₪1,288.00",,,,
05/09/2021,Transplants,מהגינה,"Celery,Onions: Scallions,Lettuce",,,₪310.00,₪310.00,,Yes,,,,₪310.00,,,,
02/09/2021,Labor,,Lettuce,,₪25.00,,₪25.00,,,,,,,,,,
02/09/2021,Labor,,Parsley,,₪25.00,,₪25.00,,,,,,,,,,
02/09/2021,Transplants,בדרך הטבע,"Lettuce,Basil",,,₪480.00,₪480.00,,Yes,,,,₪480.00,,,,
01/09/2021,Labor,,Arugula,,₪25.00,,₪25.00,,,,,,,,,,
01/09/2021,Labor,,Lettuce: Salad Mix,,₪25.00,,₪25.00,,,,,,,,,,
01/09/2021,Labor,,Radishes,,₪25.00,,₪25.00,,,,,,,,,,
25/08/2021,Transplants,בדרך הטבע,"Celery,Lettuce,Onions: Scallions",,,₪300.00,₪300.00,,Yes,,,,₪300.00,,,,
17/06/2021,Transplants,מהגינה,"Chard,Lettuce",,,₪168.00,₪168.00,,Yes,,,,₪168.00,,,,
31/05/2021,Transplants,בדרך הטבע,"Chives,Cilantro,Dill,Parsley",,,"₪1,288.00","₪1,288.00",לפי 0.56 ליח,Yes,,,,"₪1,288.00",,,,
25/05/2021,Transplants,בדרך הטבע,"Lettuce,Parsley",,,₪460.00,₪460.00,,Yes,,,,₪460.00,,,,
16/05/2021,Transplants,בדרך הטבע,"Celery,Cilantro,Dill,Lettuce,Onions: Scallions,Parsley",,,"₪2,350.00","₪2,350.00",,Yes,,,,"₪2,350.00",,,,
13/05/2021,Transplants,בדרך הטבע,Onions: Scallions,,,₪460.00,₪460.00,,Yes,,,,₪460.00,,,,
17/02/2021,Fertilizers & Amendments,דשן הידרופוני - leaving green ,,,,"₪3,200.00","₪3,200.00",leaving Green ,,2.0,Liters,100 sq. m,"₪3,200.00",500.00 Liters,,,
