url,status,body_len,active,title
https://mypips.app/anatiyot,200,15975,True,עמוד הבית | הענתיות | להזמנות | משלוחים עד הבית | נקודות איסוף
https://mypips.app/anatiyot-1,200,5825,False,עמוד הבית | מייפיפס | מערכת ההזמנות של העסקים העצמאיים והקהילתיים בישראל | להזמנות
https://mypips.app/anatiyot-2,200,5825,False,עמוד הבית | מייפיפס | מערכת ההזמנות של העסקים העצמאיים והקהילתיים בישראל | להזמנות
https://mypips.app/arava,200,12161,True,עמוד הבית | ערבה בעמק - רמת ישי | להזמנות | משלוחים עד הבית | נקודות איסוף
https://mypips.app/arava-1,200,5819,False,עמוד הבית | מייפיפס | מערכת ההזמנות של העסקים העצמאיים והקהילתיים בישראל | להזמנות
https://mypips.app/arava-2,200,5819,False,עמוד הבית | מייפיפס | מערכת ההזמנות של העסקים העצמאיים והקהילתיים בישראל | להזמנות
https://mypips.app/barshah,200,8972,True,עמוד הבית | משק ברשח - יסוד המעלה - קבוצת רכישה | להזמנות | נקודות איסוף
https://mypips.app/barshah-1,200,5823,False,עמוד הבית | מייפיפס | מערכת ההזמנות של העסקים העצמאיים והקהילתיים בישראל | להזמנות
https://mypips.app/barshah-2,200,5823,False,עמוד הבית | מייפיפס | מערכת ההזמנות של העסקים העצמאיים והקהילתיים בישראל | להזמנות
https://mypips.app/bestfruit,200,10634,True,עמוד הבית | פירות וירקות מיתר | להזמנות | משלוחים עד הבית | נקודות איסוף
https://mypips.app/bestfruit-1,200,5827,False,עמוד הבית | מייפיפס | מערכת ההזמנות של העסקים העצמאיים והקהילתיים בישראל | להזמנות
https://mypips.app/bestfruit-2,200,5827,False,עמוד הבית | מייפיפס | מערכת ההזמנות של העסקים העצמאיים והקהילתיים בישראל | להזמנות
https://mypips.app/brodavkameshek,200,10536,True,עמוד הבית | משק ברודבקה - משפחה של חקלאים | להזמנות | נקודות איסוף
https://mypips.app/brodavkameshek-1,200,5837,False,עמוד הבית | מייפיפס | מערכת ההזמנות של העסקים העצמאיים והקהילתיים בישראל | להזמנות
https://mypips.app/brodavkameshek-2,200,5837,False,עמוד הבית | מייפיפס | מערכת ההזמנות של העסקים העצמאיים והקהילתיים בישראל | להזמנות
