url,http_status,body_len,storefront_likely_active,page_title,checked_at,confidence,basis,evidence_source,source_batch
https://mypips.app/agustina,200,9309,True,עמוד הבית | אגוסטינה קפה & קונדיטוריה | להזמנות | נקודות איסוף,2026-04-04T12:42:16Z,high,Direct indexed MyPIPS store page found in web search,turn221165search8,team80_csv
https://mypips.app/mangolovers,200,18828,True,עמוד הבית | דביבוני פירות 🦝 | להזמנות | משלוחים עד הבית | נקודות איסוף,2026-04-04T12:42:16Z,high,Explicit MyPIPS link in Facebook snippets for Dvivonim,turn221165search1,team80_csv
https://mypips.app/groups/mangolovers,200,5781,False,מייפיפס | מערכת ההזמנות של העסקים העצמאיים והקהילתיים בישראל | להזמנות,2026-04-04T12:42:16Z,high,Explicit group-path MyPIPS link in Facebook snippet,turn782441search9,team80_csv
https://mypips.app/organicfarm,200,11363,True,עמוד הבית | משק אורגני בן יהודה | להזמנות | נקודות איסוף,2026-04-04T12:42:16Z,high,Explicit MyPIPS link in business directory for משק אורגני בן יהודה,turn811671search0,team80_csv
https://mypips.app/finerotem,200,13363,True,עמוד הבית | משק רתם פיין בנימינה | להזמנות | משלוחים עד הבית,2026-04-04T12:42:16Z,high,Explicit MyPIPS slug in Facebook snippet for משק רתם פיין,turn236565search4,team80_csv
https://mypips.app/popisrael,200,16884,True,עמוד הבית | פופ - טרי. קהילתי. ישראלי. | להזמנות | משלוחים עד הבית | נקודות איסוף,2026-04-04T12:42:16Z,high,Explicit MyPIPS link in Agrisupport job listing,turn236565search6,team80_csv
https://mypips.app/sandraperot,200,14857,True,עמוד הבית | סנדרה פירות איכותיים | להזמנות | משלוחים עד הבית | נקודות איסוף,2026-04-04T12:42:16Z,high,Explicit MyPIPS link in Facebook snippet for סנדרה פירות איכותיים,turn782441search12,team80_csv
https://mypips.app/anatiyot,200,15975,True,עמוד הבית | הענתיות | להזמנות | משלוחים עד הבית | נקודות איסוף,2026-04-04T12:42:16Z,high,Explicit MyPIPS link in רוח שתות shop list,turn864317search4,team80_csv
https://mypips.app/anatiyot/cart/0,200,14141,True,סל קניות וצ׳קאוט | הענתיות | להזמנות | משלוחים עד הבית | נקודות איסוף,2026-04-04T12:42:16Z,high,Indexed MyPIPS cart route found in web search,turn349481search0,team80_csv
https://mypips.app/vigenbari,200,19477,True,עמוד הבית | סל מהטבע - דפנה אמון | להזמנות | משלוחים עד הבית | נקודות איסוף,2026-04-04T12:42:16Z,high,Explicit MyPIPS link in רוח שתות shop list,turn864317search4,team80_csv
https://mypips.app/flowerstodoor/private-sale/flowerstodoor/cart/0,200,14302,True,סל קניות וצ׳קאוט | פרחים עד הבית - פרחים עד הבית | להזמנות | משלוחים עד הבית,2026-04-04T12:42:16Z,high,Indexed MyPIPS private-sale cart route found in web search,turn349481search1,team80_csv
https://mypips.app/shivoktary/private-sale/silberfield/cart/0,200,15623,True,סל קניות וצ׳קאוט | סילברמן השדה - סילברמן השדה | להזמנות | נקודות איסוף,2026-04-04T12:42:16Z,high,Indexed MyPIPS private-sale cart route found in web search,turn259722search0,team80_csv
