Category,Family Name,Crop,Crop Type,Variety,Planting Method,Harvest Stage,GH Sow Date,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Days In Greenhouse,Field Sowing Planting Date,DTM,Harvest Window,First Harvest,Last Harvest,Planting Amount,Location,In-Row Spacing,In-Row Spacing Unit,Rows Per Bed,# Of Flats,Flat/pot type,Seeds per cell,Estimated loss,Total Transplants,Total Seed Needed,Average seed weight,Average seed weight unit,Total Weight Needed,Total Weight Needed Unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Harvest Unit,Avg Yield Rate,Avg. Sales Price,Est. Yield,Est. Revenue,Est. Rev./unit,Growing Cycle,Rootstock,Harvest Season,First Fruiting Year,Between row spacing,Notes,Seeder,Front gear,Rear gear,Roller plate
Vegetables,Amaranthaceae,Amaranth (Vegetable),Amaranth (Vegetable),הודי אדום,Direct Sow,Baby Leaf,,,,,,,,,12/04/2021,,113,02/06/2021,23/09/2021,12 bed m,"Ramim,Ra.3,Block R2,Beds 319",2.0,cm,4,,,,,,2400,500,seeds/g,4.80,g,0.00,,,,,,,,,,,Bunches,4.000 bn/row m,₪5.00/bn,192.0 Bunches,₪960.00,₪20.00/row m,Annual,,,,,,Jang JP-1,11,11,YY - 24
Herbs,Lamiaceae,Anise Hyssop,Anise Hyssop,אזוב מצוי,Transplant from Purchased,Full-Size,,,,,,,,,17/07/2018,,360,01/09/2018,27/08/2019,4 bed m,"Home,HH,Block A,Beds 4",30.0,cm,2,,,,0,26.67,27,400,seeds/g,0.07,g,0.00,,,,,,,,,,,Bunches,20.000 bn/row m,₪5.00/bn,160.0 Bunches,₪800.00,₪100.00/row m,Perennial,,,,,,,,,
Vegetables,Asteraceae,Artichokes,Artichokes,Wonder,Transplant from Purchased,,,,,,,,,,17/11/2021,,70,19/04/2022,28/06/2022,24 bed m,"Home,HH,Block A,Beds 6,Block B,Beds 7",60.0,cm,2,,128 cell flats,,30,156,104,19,seeds/g,5.47,g,0.00,,,,,,,,,,,Kilograms,0.350 kg/row m,₪20.00/kg,16.8 Kilograms,₪336.00,₪7.00/row m,Biennial,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,01/07/2020,,192,03/08/2020,11/02/2021,12 bed m,"Ramim,Ra.1,Block L2,Beds 129",0.5,cm,8,,,,,,10560,3828,seeds/g,2.76,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,14.4 Kilograms,₪768.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,FJ - 24
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,02/09/2020,,120,14/10/2020,11/02/2021,6 bed m,"Ramim,Ra.2,Block C6m,Beds 202",0.5,cm,8,,,,,,10560,2500,seeds/g,4.22,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,7.2 Kilograms,₪384.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,FJ - 24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,24/09/2020,,120,26/10/2020,23/02/2021,12 bed m,"Ramim,Ra.3,Block R2,Beds 328",0.5,cm,8,,,,,,21120,2000,seeds/g,10.56,g,10.00,Organic,,,,,,,,,,Kilograms,0.000 /row m,₪8.00/cs,0.0 ,₪0.00,₪0.00/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,29/10/2020,,52,28/12/2020,18/02/2021,12 bed m,"Ramim,Ra.3,Block R1,Beds 316",0.5,cm,8,,,,,,21120,2500,seeds/g,8.45,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,14.4 Kilograms,₪768.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,FJ - 24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,02/12/2020,,39,11/02/2021,22/03/2021,12 bed m,"Ramim,Ra.2,Block C2,Beds 218",0.5,cm,8,,,,,,21120,2000,seeds/g,10.56,g,10.00,Organic,,,,,,,,,,Kilograms,0.200 kg/row m,₪8.00/cs,19.2 Kilograms,"₪1,024.00",₪10.67/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,16/12/2020,,20,11/03/2021,31/03/2021,12 bed m,"Ramim,Ra.3,Block R2,Beds 324",0.5,cm,8,,,,,,21120,2000,seeds/g,10.56,g,10.00,Organic,,,,,,,,,,Kilograms,0.200 kg/row m,₪8.00/cs,19.2 Kilograms,"₪1,024.00",₪10.67/row m,Annual,,,,,,Jang JP-1,14,9,FJ - 24
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,13/01/2021,,8,15/02/2021,23/02/2021,12 bed m,"Ramim,Ra.3,Block R2,Beds 320",0.5,cm,8,,,,,,21120,2000,seeds/g,10.56,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,14.4 Kilograms,₪768.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,FJ - 24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,13/01/2021,,11,18/03/2021,29/03/2021,12 bed m,"Ramim,Ra.3,Block R1,Beds 308",0.5,cm,8,,,,,,21120,2000,seeds/g,10.56,g,10.00,Organic,,,,,,,,,,Kilograms,0.200 kg/row m,₪8.00/cs,19.2 Kilograms,"₪1,024.00",₪10.67/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,15/03/2021,,1,16/04/2021,17/04/2021,12 bed m,"Ramim,Ra.3,Block R1,Beds 315",0.5,cm,8,,,,,,21120,2500,seeds/g,8.45,g,10.00,Organic,,,,,,,,,,Kilograms,0.200 kg/row m,₪8.00/cs,19.2 Kilograms,"₪1,024.00",₪10.67/row m,Annual,,,,,,Jang JP-1,14,9,FJ - 24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,25/03/2021,,1,08/04/2021,09/04/2021,12 bed m,"Ramim,Ra.3,Block R1,Beds 312",0.5,cm,8,,,,,,21120,2000,seeds/g,10.56,g,10.00,Organic,,,,,,,,,,Kilograms,0.200 kg/row m,₪8.00/cs,19.2 Kilograms,"₪1,024.00",₪10.67/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,12/04/2021,,16,10/06/2021,26/06/2021,12 bed m,"Ramim,Ra.3,Block R1,Beds 313",0.5,cm,8,,,,,,21120,2000,seeds/g,10.56,g,10.00,Organic,,,,,,,,,,Kilograms,0.200 kg/row m,₪8.00/cs,19.2 Kilograms,"₪1,024.00",₪10.67/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,12/04/2021,,9,19/05/2021,28/05/2021,12 bed m,"Ramim,Ra.3,Block R1,Beds 312",0.5,cm,8,,,,,,21120,2000,seeds/g,10.56,g,10.00,Organic,,,,,,,,,,Kilograms,0.200 kg/row m,₪8.00/cs,19.2 Kilograms,"₪1,024.00",₪10.67/row m,Annual,,,,,,Jang JP-1,14,9,FJ - 24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,29/04/2021,,21,27/05/2021,17/06/2021,12 bed m,"Ramim,Ra.3,Block R3,Beds 331",0.5,cm,8,,,,,,21120,2000,seeds/g,10.56,g,10.00,Organic,,,,,,,,,,Kilograms,0.200 kg/row m,₪8.00/cs,19.2 Kilograms,"₪1,024.00",₪10.67/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,13/05/2021,,45,10/06/2021,25/07/2021,12 bed m,"Ramim,Ra.3,Block R1,Beds 314",0.15,cm,6,,,,,,52800,2500,seeds/g,21.12,g,10.00,Organic,,,,,,,,,,Kilograms,0.200 kg/row m,₪8.00/cs,14.4 Kilograms,₪768.00,₪10.67/row m,Annual,,,,,,Jang JP-1,14,9,X-24
