Crop,Variety,Harvest Stage,Yield,Planned Pick,Ordered Amount
Amaranth (Vegetable),,Baby Leaf,216.00 bn,192.00 bn,206.00 bn
Amaranth (Vegetable),הודי אדום,Baby Leaf,98.00 bn,,
Anise Hyssop,,Full-Size,183.00 bn,136.00 bn,132.00 bn
Anise Hyssop,אזוב מצוי,Full-Size,55.00 bn,,
Artichokes,,,8.90 kg,15.00 kg,15.00 kg
Artichokes,גבע - דור 2,,8.90 kg,,
Arugula,,Baby Leaf,108.47 kg,193.91 kg,194.24 kg
Arugula,Arugula,Baby Leaf,98.27 kg,,
Arugula,Wild Rocket,Baby Leaf,10.20 kg,,
Basil,,Full-Size,507.98 cs,"1,173.00 cs","1,127.00 cs"
Basil,Dwarf Greek,Full-Size,1.33 cs,,
Basil,Genovese,Full-Size,1.33 cs,,
Basil,hyd. Prospera,Full-Size,391.33 cs,,
Basil,hyd. סגול,Full-Size,6.33 cs,,
Basil,Prospera,Full-Size,1.33 cs,,
Basil,Sweet Thai,Full-Size,35.33 cs,,
Basil,,Plant Sale,350.00 pl,,
Basil,Dwarf Greek,Plant Sale,50.00 pl,,
Basil,hyd. סגול,Plant Sale,300.00 pl,,
Beans: Bush & Pole,,Fresh,75.60 kg,42.00 kg,64.00 kg
Beans: Bush & Pole,Blauhilde,Fresh,22.95 kg,,
Beans: Bush & Pole,California Black Eyed,Fresh,28.30 kg,,
Beans: Bush & Pole,Hilda - שטוחה מטפסת,Fresh,8.85 kg,,
Beans: Bush & Pole,Speedy,Fresh,15.50 kg,,
Beets,,Baby Leaf Greens,17.21 kg,33.72 kg,34.72 kg
Beets,MIX עלי ביבי,Baby Leaf Greens,11.14 kg,,
Beets,,Full-Size Root,176.61 bn,560.00 bn,503.00 bn
Beets,Bull's Blood,Full-Size Root,35.67 bn,,
Beets,Chioggia Guardsmark,Full-Size Root,90.67 bn,,
Beets,Forono - מוערך נטע,Full-Size Root,22.27 bn,,
Beets,Generic Variety,Full-Size Root,8.00 bn,,
Beets,Ventu - כדורי F1 נטע,Full-Size Root,4.00 bn,,
Broccoli,,Head,71.60 kg,17.00 kg,17.00 kg
Broccoli,Cavolo Broccolo,Head,5.00 kg,,
Broccoli,Generic Variety,Head,1.00 kg,,
Broccoli,Marathon,Head,5.80 kg,,
Broccoli,Partenon,Head,42.70 kg,,
Cabbage,,Full-Size,210.00 kg,138.00 kg,138.00 kg
Cabbage,Generic Variety,Full-Size,67.00 kg,,
Cabbage,ירוק,Full-Size,12.00 kg,,
Cabbage,ירוק חישתיל,Full-Size,15.00 kg,,
Cabbage,סגול חישתיל,Full-Size,33.30 kg,,
Carrots,,Full-Size,356.30 bn,431.00 bn,378.00 bn
Carrots,Nantes Half Long,Full-Size,346.30 bn,,
Carrots,Purple Haze,Full-Size,10.00 bn,,
Celery,,Full-Size,392.00 ea,"1,065.00 ea","1,235.00 ea"
Celery,Gigante Dorato,Full-Size,156.00 ea,,
