Date,Creator,Note,Plantings,Location
11/12/2019,Nimrod Wald,השרייה 24 + מי חמצן,Sunflower - Field not assigned,
04/12/2019,Nimrod Wald,"השרייה שעה בחומץ ומי חמצן ואז 10 שעות במים. 
זריעה עם תןספת אדמה מעל",Sunflower - Field not assigned,
26/11/2019,Nimrod Wald,השרייה קצרה,Sunflower - Field not assigned,
26/11/2019,Nimrod Wald,"השרייה ממושכת - קצת מעל 24 שעות עם חומץ בחוץ
זריעה באיזור חדש",Sunflower - Field not assigned,
19/11/2019,Nimrod Wald,השרייה עם חומץ מחוץ למקרר,Sunflower - Field not assigned,
19/11/2019,Nimrod Wald,השרייה 24 שעות במקרר עם חומץ,Sunflower - Field not assigned,
27/10/2019,Nimrod Wald,לקח הרבה זמן לקפוץ ולגדול - לגדל סבב נוסף לבדיקה בערוגה 6 מטר,Sorrel in Ra.2,
10/10/2019,Nimrod Wald,המחזור הכי מוצלח,Tomatoes in Ra.2,
17/09/2019,Nimrod Wald,קליטה חלקית ביותר - שתילים לא טובים,Beets in Ra.1,
06/08/2019,Nimrod Wald,נשתל מאוחר מידי . להקדים שנה הבאה ולעשות כמות גדולה יותר,Okra in Ra.1,
29/07/2019,Nimrod Wald,שתילים מוזמנים מעידן,Spinach in Ra.1,
29/07/2019,Nimrod Wald,שתילים מוזמנים מעידן,Celery in Ra.3,
29/07/2019,Nimrod Wald,שתילים הוזמנו מעידן,Cabbage in Ra.3,
29/07/2019,Nimrod Wald,שתילים מוזמנים מעידן,,
29/07/2019,Nimrod Wald,שתילים מעידן - הוזמן,Broccoli in Ra.3,
30/06/2019,Nimrod Wald,זריעה בעיתית - בהתחלה צפוף מידי ובאמצע נגמרו הזרעים הקטנים - צריך לנסות קונפיגורציה אחרת,Lettuce: Salad Mix in Ra.1,
19/06/2019,Nimrod Wald,10 גרם,Arugula in Ra.2,
19/06/2019,Nimrod Wald,49ג זריעה במזרעה הסלק לא עובר. ,Lettuce: Salad Mix in HH,
19/06/2019,Nimrod Wald,15 גרם זרעים,Kale in Ra.1,
21/05/2019,Nimrod Wald,שתילים רם שחר,Celery in Ra.2,
08/05/2019,Nimrod Wald,"התחלנו בגלגל FJ24 
הזרעים לא ירדו טוב
והחלף גלגל ונזרע שוב - כנראה צריך עוד גלגל לסלק",Beets in Ra.1,
06/05/2019,Nimrod Wald,זרעים איטליה,Arugula in HH,
28/04/2019,Nimrod Wald,שלושה זנים שונים,,
28/04/2019,Nimrod Wald,דלעת יונתן,Winter Squash in Ra.3,
15/04/2019,Nimrod Wald,זרעים יונתן - דלעת סופר,Winter Squash - Field not assigned,
03/04/2019,Nimrod Wald,שתילים רם שחר,Peppers in Ra.1,
02/04/2019,Nimrod Wald,שתילים רם שחר,,
31/03/2019, ,ridge + snake + ASH,,
28/03/2019, ,"שני זנים איטליה - צד בצד
Gentilina / Foglia liscia",Lettuce: Salad Mix in Ra.1,
28/03/2019, ,"זרעים נטע 2019
25 גרם",Cress in HH,
28/03/2019, ,זרעים בן שחר 2018,Tatsoi in HH,
