Date,Category,Input,Crop,Location,Labor Cost,Input Cost,Total Cost,Description/Manufacturer,OMRI,Application Rate Amount,Application Rate Amount Units,Application Rate Amount Area,Total Cost For Amount,Total Cost For Amount Unit,Seeds Variety,Seeds Organic Treatment,Seeds Seed Company
10/12/2019,Labor,,,"Home,HH,Ramim,Ra.1,Ra.2,Ra.3","₪9,030.00",,"₪9,030.00",,,,,,,,,,
10/12/2019,Transplants,משתלת שחר,"Beets,Dill,Spinach",,,₪330.00,₪330.00,,No,,,,₪330.00,,,,
01/12/2019,Irrigation,ציוד השקייה,,"Ramim,Ra.1,Ra.2,Ra.3",,₪60.00,₪60.00,מתזים,,,,,₪60.00,,,,
29/11/2019,Fertilizers & Amendments,פרפקט בלנד 4-4-4,"Basil,Beets,Broccoli,Cabbage,Cauliflower,Celeriac,Celery,Chard,Chives,Cilantro,Cucumbers,Dill,Eggplant,Fennel,Gourds,Kale,Kohlrabi,Lettuce,Melons,New Zealand Spinach,Okra,Onions: Scallions,Pac Choi (Bok Choy),Parsley,Peppers,Soybeans,Spinach,Summer Squash,Tomatoes,Winter Squash",,,₪200.00,₪200.00,ירוק משתלה אורגנית - מתן הגנן,Yes,30.0,Milliliters,,₪200.00,18.00 Milliliters,,,
29/11/2019,Transplants,משתלת שחר,"Artichokes,Cilantro,Kale,Kohlrabi,Lettuce,Pac Choi (Bok Choy),Spinach",,,₪600.00,₪600.00,,No,,,,₪600.00,,,,
14/11/2019,Transplants,משתלת שחר,"Beets,Celery,Dill,Lettuce,Onions: Scallions,Spinach",,,₪929.00,₪929.00,,No,,,,₪929.00,,,,
10/11/2019,Labor,,,"Home,HH,Ramim,Ra.1,Ra.2,Ra.3","₪7,455.00",,"₪7,455.00",,,,,,,,,,
31/10/2019,Transplants,משתלת שחר,,,,₪255.00,₪255.00,,No,,,,₪255.00,,,,
18/10/2019,Fertilizers & Amendments,קומפוסט,,,,"₪3,400.00","₪3,400.00",יוחאי,Yes,7.0,Liters,sq. m,"₪3,400.00",3000.00 Liters,,,
18/10/2019,Transplants,משתלת שחר,,,,₪890.00,₪890.00,,No,,,,₪890.00,,,,
10/10/2019,Labor,,,"Home,HH,Ramim,Ra.1,Ra.2,Ra.3","₪9,660.00",,"₪9,660.00",ריכוז שעות חודשי,,,,,,,,,
10/09/2019,Labor,,,"Home,HH,Ramim,Ra.1,Ra.2,Ra.3","₪11,795.00",,"₪11,795.00",ריכוז שעות חודשי,,,,,,,,,
01/09/2019,Seeds,,,,,"₪2,100.00","₪2,100.00",זרעי חורף,,,,,"₪2,100.00",,,,נטע
10/08/2019,Labor,,,"Home,HH,Ramim,Ra.1,Ra.2,Ra.3","₪12,355.00",,"₪12,355.00",ריכוז שעות חודשי,,,,,,,,,
10/07/2019,Labor,,,"Home,HH,Ramim,Ra.1,Ra.2,Ra.3","₪20,650.00",,"₪20,650.00",ריכוז שעות חודשי עובדים,,,,,,,,,
21/05/2019,Transplants,משתלת שחר,"Basil,Celery,Cilantro,Lettuce,Melons",,,₪683.00,₪683.00,,No,,,,₪683.00,,,,
20/05/2019,Irrigation,חשבון מים,,"Ramim,Ra.1,Ra.2,Ra.3",,₪369.14,₪369.14,חשבון מים רמים פברואר + מרץ,,,,,₪369.14,,,,
06/05/2019,Transplants,משתלת שחר,"Basil,Cilantro,Lettuce,Onions: Scallions",,,₪293.00,₪293.00,,No,,,,₪293.00,,,,
24/04/2019,Transplants,משתלת שחר,"Anise Hyssop,Kale,Tomatoes",,,₪235.00,₪235.00,,No,,,,₪235.00,,,,
01/04/2019,Fertilizers & Amendments,נוגרו,,"Home,HH,Ramim,Ra.1,Ra.2,Ra.3",,₪88.00,₪88.00,,Yes,0.5,Liters,1000 sq. m,₪88.00,10.00 Liters,,,
01/04/2019,Irrigation,ציוד השקייה,,"Ramim,Ra.1,Ra.2,Ra.3",,₪300.00,₪300.00,,,,,,₪300.00,,,,
01/04/2019,Pest & Disease,טימורקס גולד,,"Home,HH,Ramim,Ra.1,Ra.2,Ra.3",,₪273.00,₪273.00,,Yes,0.1,Liters,1000 sq. m,₪273.00,1.00 Liters,,,
01/04/2019,Row Cover & Mulch,יריעת חיפוי טירס,"Cucumbers,Summer Squash,Tomatoes,Winter Squash",,,"₪1,232.00","₪1,232.00",,,,,,"₪1,232.00",,,,
01/04/2019,Transplants,משתלת שחר,"Basil,New Zealand Spinach",,,₪240.00,₪240.00,,No,,,,₪240.00,,,,
01/04/2019,Transplants,משתלת שחר,,"Ramim,Ra.1,Ra.2,Ra.3",,₪532.00,₪532.00,,No,,,,₪532.00,,,,
26/03/2019,ציוד וכלים,BCS,,"Ramim,Ra.1,Ra.2,Ra.3",,"₪1,760.00","₪1,760.00",טיפול תקופתי  + שיפוץ במנוע עקב עבודה ללא שמן,,,,,"₪1,760.00",,,,
