Date,Creator,Note,Plantings,Location
07/10/2020,Nimrod Wald,7g seeds,Radishes in HH,
12/09/2020,Nimrod Wald,זרעי מורשת - לשמור זרעים,Chard in Ra.1,
20/08/2020,Nimrod Wald,"100 ג זרעים
",Cilantro in Ra.2,
16/07/2020,Nimrod Wald,מברשת למעלה 80ג לערןגה,Lettuce: Salad Mix in Ra.1,
22/06/2020,Nimrod Wald,ערוגה מעורבת - בלגן זנים,Tomatoes in Ra.3,
20/06/2020,Nimrod Wald,חישתיל דרך יניב,,
16/06/2020,Nimrod Wald,חישתיל דרך יניב,,
16/06/2020,Nimrod Wald,חישתיל דרך יניב,Spinach in Zvika,
16/06/2020,Nimrod Wald,חישתיל דרך יניב,Leeks in Ra.1,
16/06/2020,Nimrod Wald,חישתיל דרך יניב,Cabbage in Ra.4,
16/06/2020,Nimrod Wald,חישתיל דרך יניב,Broccoli in Zvika,
16/06/2020,Nimrod Wald,"7 קג חומר ריבוי לאחר מיון
10 דלי קומפוסט בניימינה
10 דלי קומפוסט לול שלנו",,
01/06/2020,Nimrod Wald,קירור 48 שעות 20 מעלות,Lettuce in Zvika,
01/06/2020,Nimrod Wald,קירור 48 שעות 20 מעלות,Lettuce in Zvika,
01/06/2020,Nimrod Wald,קירור 20 מעלות 48 שעות,Lettuce in Zvika,
25/05/2020,Nimrod Wald,"ערוגה 12 - 100ג לריזום, לקטיף בדצמבר ינואר
ערוגה 13 50ג לריזום לקטיף באביב",Turmeric in HH,
04/05/2020,Nimrod Wald,ישב באדמה מלא זמן - התחיל לצאת רק עם האביב באמצע מרץ - יש לשתול באביב ולא בחורף,Jerusalem Artichokes in HH,
01/04/2020,Nimrod Wald,שתילים רם שחר,Basil in Ra.1,
18/03/2020,Nimrod Wald,"לבן איטלקי זן חדש
",Radishes in Ra.3,
06/03/2020,Nimrod Wald,הושרע ונזרע באותו יום - זריעה נימרוד,Sunflower - Field not assigned,
06/03/2020,Nimrod Wald,הושרה יום קודם ושכב לילה בקופסה סגורה - נזרע למחרת,Sunflower - Field not assigned,
06/03/2020,Nimrod Wald,זריעה - אלון,Sunflower - Field not assigned,
26/02/2020,Nimrod Wald,נשתל בשדות ים בשבילנו,Lettuce - Field not assigned,
26/02/2020,Nimrod Wald,נשתל בשדות ים בשבילנו,Lettuce - Field not assigned,
26/02/2020,Nimrod Wald,נשתל בשדות ים בשבילנו,Lettuce - Field not assigned,
26/02/2020,Nimrod Wald,"נזרעו זני זנים של יעל, צהוב ושחור. 
",Tomatoes in Ra.3,
22/02/2020,Nimrod Wald,ערוגה 300A - מיקום 2,Sunflower - Field not assigned,
19/02/2020,Nimrod Wald,מיקום: 300-א,Sunflower - Field not assigned,
18/02/2020,Nimrod Wald,"חיתוך לחלקים בגודל אצבע + ייבוש למשך 24-48 שעות
אחרי זה השרייה במים בעומק 1 ס״מ עד לקבלת הנצה",,
16/02/2020,Nimrod Wald,חישתיל - שתילים מיניב,Winter Squash in Ra.4,
12/02/2020,Nimrod Wald,maggukraut - נזרע הרבה - לשמור לזרעים,Lovage - Field not assigned,
12/02/2020,Nimrod Wald,שתילים רם שחר,Winter Squash in Ra.4,
09/02/2020,Nimrod Wald,"שני זנים
כל אחד 6 מטר
לפי התצלום
",Lettuce: Salad Mix in HH,
08/02/2020,Nimrod Wald,שתילים הוזמנו מיניב,Eggplant in Ra.3,
05/02/2020,Nimrod Wald,הועבר לגידול אצל תמיר,,
16/01/2020,Nimrod Wald,"השרייה קצרה, חיטוי כולל מי חמצן. זריעה תחת ניילון על קשתות תותים",Sunflower - Field not assigned,
05/01/2020,Nimrod Wald,הוזמן מיניב,Leeks - Field not assigned,
05/01/2020,Nimrod Wald,הוזמן מיניב,Basil in Ra.1,
05/01/2020,Nimrod Wald,הוזמן מיניב,Onions: Scallions in Ra.2,
05/01/2020,Nimrod Wald,הוזמן מיניב,Onions: Scallions in Ra.1,
05/01/2020,Nimrod Wald,הוזמן מיניב,Beets in Ra.1,
05/01/2020,Nimrod Wald,הוזמן מיניב,Beets - Field not assigned,
05/01/2020,Nimrod Wald,הוזמן מיניב,Peppers in Ra.3,
05/01/2020,Nimrod Wald,הוזמן מיניב,Peppers in Ra.3,
05/01/2020,Nimrod Wald,הוזמן מיניב,Onions: Scallions in HH,
05/01/2020,Nimrod Wald,הוזמן מיניב,Onions: Scallions in Ra.1,
05/01/2020,Nimrod Wald,שתילים הוזמן מיניב,Melons in Ra.2,
05/01/2020,Nimrod Wald,שתילים הוזמן מיניב,Tomatoes in Ra.3,
05/01/2020,Nimrod Wald,שתילים הוזמן דרך יניב,Summer Squash in Ra.1,
05/01/2020,Nimrod Wald,שתילים הוזמנו מיניב,New Zealand Spinach in HH,
05/01/2020,Nimrod Wald,חישתיל - עם יניב,Melons in Ra.2,
