Parents Crop,Variety,Year,Total Seeds Needed,Total Weight Needed,Total Seed Weight Needed Unit,Planting,Planting Seed Needed,Planting Seed Weight Needed,Planting Seed Weight Needed Unit,Planting Extra Seed Order %,Planting Seed Spec
Amaranth (Vegetable),Generic Variety,2019,9000,6.0,g,"12/3/2020,  12 bed m, Ra.2 > C2 > Bed 222",1800,3.6,g,0.0,
,,,,,,"16/7/2020,  12 bed m, Ra.2 > C1 > Bed 213",7200,2.4,g,0.0,
Arugula,Arugula,2019,126720,48.47,g,"6/1/2020,  12 bed m, HH > B > Bed 10",21120,8.45,g,10.0,Organic
,,,,,,"25/2/2020,  12 bed m, HH > B > Bed 12",21120,8.45,g,10.0,Organic
,,,,,,"12/3/2020,  12 bed m, HH > B > Bed 9",21120,7.04,g,10.0,Organic
,,,,,,"2/4/2020,  12 bed m, HH > B > Bed 10",21120,8.45,g,10.0,Organic
,,,,,,"28/5/2020,  10 bed m, Ra.1 > L1 > Bed 110",21120,5.52,g,10.0,Organic
,,,,,,"16/7/2020,  12 bed m, Ra.1 > L1 > Bed 117",21120,10.56,g,10.0,Organic
Arugula,Arugula,2020,73920,34.85,g,"29/10/2020,  12 bed m, Ra.3 > R1 > Bed 316",21120,8.45,g,10.0,Organic
,,,,,,"2/9/2020,  6 bed m, Ra.2 > C6m > Bed 203",10560,5.28,g,10.0,Organic
,,,,,,"24/9/2020,  12 bed m, Ra.3 > R2 > Bed 328",21120,10.56,g,10.0,Organic
,,,,,,"2/12/2020,  12 bed m, Ra.2 > C2 > Bed 218",21120,10.56,g,10.0,Organic
Arugula,Generic Variety,2019,1602380,495.0,g,29/3/2020  · Microgreen,57420,15.0,g,0.0,Organic
,,,,,,16/4/2020  · Microgreen,57420,15.0,g,0.0,Organic
,,,,,,20/4/2020  · Microgreen,57420,15.0,g,0.0,Organic
,,,,,,30/4/2020  · Microgreen,57420,15.0,g,0.0,Organic
,,,,,,3/5/2020  · Microgreen,57420,15.0,g,0.0,Organic
,,,,,,11/5/2020  · Microgreen,114840,30.0,g,0.0,Organic
,,,,,,14/5/2020  · Microgreen,114840,30.0,g,0.0,Organic
