Category,Family Name,Crop,Crop Type,Variety,Planting Method,Harvest Stage,GH Sow Date,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Days In Greenhouse,Field Sowing Planting Date,DTM,Harvest Window,First Harvest,Last Harvest,Planting Amount,Location,In-Row Spacing,In-Row Spacing Unit,Rows Per Bed,# Of Flats,Flat/pot type,Seeds per cell,Estimated loss,Total Transplants,Total Seed Needed,Average seed weight,Average seed weight unit,Total Weight Needed,Total Weight Needed Unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Harvest Unit,Avg Yield Rate,Avg. Sales Price,Est. Yield,Est. Revenue,Est. Rev./unit,Growing Cycle,Rootstock,Harvest Season,First Fruiting Year,Between row spacing,Notes,Seeder,Front gear,Rear gear,Roller plate
Herbs,Lamiaceae,Anise Hyssop,Anise Hyssop,אזוב מצוי,Transplant from Purchased,Full-Size,,,,,,,,,17/07/2018,,183,01/04/2019,01/10/2019,4 bed m,"Ramim,Ra.1,Block L1,Beds 109",30.0,cm,2,,,,0,26.67,27,400,seeds/g,0.07,g,0.00,,,,,,,,,,,Bunches,5.000 bn/row m,₪5.00/bn,40.0 Bunches,₪200.00,₪25.00/row m,Annual,,,,,,,,,
Herbs,Lamiaceae,Anise Hyssop,Anise Hyssop,אזוב מצוי,Transplant from Purchased,Full-Size,,,,,,,,,17/07/2018,,360,01/09/2018,27/08/2019,4 bed m,"Home,HH,Block A,Beds 4",30.0,cm,2,,,,0,26.67,27,400,seeds/g,0.07,g,0.00,,,,,,,,,,,Bunches,20.000 bn/row m,₪5.00/bn,160.0 Bunches,₪800.00,₪100.00/row m,Perennial,,,,,,,,,
Vegetables,Asteraceae,Artichokes,Artichokes,Generic Variety,Transplant from Purchased,,,,,,,,,,30/10/2018,,35,26/08/2019,30/09/2019,12 bed m,,100.0,cm,1,,,,0,12,12,19,seeds/g,0.63,g,0.00,,,,,,,,,,,Kilograms,2.000 kg/row m,₪20.00/kg,24.0 Kilograms,₪480.00,₪40.00/row m,Biennial,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,13/11/2018,,0,09/03/2019,09/03/2019,6 bed m,"Ramim,Ra.1,Block L6m,Beds 103",1.0,cm,6,,,,,,3960,3828,seeds/g,1.03,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,5.4 Kilograms,₪288.00,₪8.00/row m,Annual,,,,,,Jang JP-1,13,10,YYJ-24
Vegetables,Fabaceae,Beans: Fava,Beans: Fava,Generic Variety,Direct Sow,Fresh Shelling,,,,,,,,,01/11/2018,,26,03/04/2019,29/04/2019,12 bed m,"Ramim,Ra.3,Block R2,Beds 321",14.0,cm,1,,,,,,95,1,seeds/g,95.00,g,10.00,Organic,,,,,,,,,,Kilograms,1.339 kg/row m,₪20.00/cs,16.1 Kilograms,₪803.50,₪66.96/row m,Annual,,,,,,,,,
Vegetables,Amaranthaceae,Beets,Beets,MIX עלי ביבי,Direct Sow,Baby Leaf Greens,,,,,,,,,14/11/2018,,234,01/04/2019,21/11/2019,6 bed m,"Ramim,Ra.1,Block L6m,Beds 105",2.0,cm,6,,,,,,1981,66823,seeds/kg,0.03,kg,10.00,Organic,,,,,,,,,,Kilograms,0.250 kg/row m,₪12.00/cs,9.0 Kilograms,₪108.00,₪3.00/row m,Annual,,,,,,Jang JP-1,,,
Vegetables,Amaranthaceae,Beets,Beets,Generic Variety,Transplant from Purchased,Full-Size Root,,,,,,,,,10/12/2018,,21,01/04/2019,22/04/2019,12 bed m,"Ramim,Ra.3,Block R2,Beds 326",15.0,cm,3,,,,0,240,240,66823,seeds/kg,0.00,kg,0.00,Organic,,,,,,,,,,Bunches,1.200 bn/row m,₪8.00/bn,43.2 Bunches,₪345.60,₪9.60/row m,Annual,,,,,,,,,
Vegetables,Amaranthaceae,Beets,Beets,Chioggia Guardsmark,Direct Sow,Full-Size Root,,,,,,,,,26/12/2018,,32,18/04/2019,20/05/2019,6 bed m,"Ramim,Ra.2,Block C2,Beds 221",10.0,cm,4,,,,,,264,66823,seeds/kg,0.00,kg,10.00,Organic,,,,,,,,,,Bunches,1.200 bn/row m,₪8.00/bn,28.8 Bunches,₪230.40,₪9.60/row m,Annual,,,,,,Jang JP-1,,,
Vegetables,Amaranthaceae,Beets,Beets,Boldor,Direct Sow,Full-Size Root,,,,,,,,,26/12/2018,,32,18/04/2019,20/05/2019,6 bed m,"Ramim,Ra.2,Block C2,Beds 221",10.0,cm,4,,,,,,264,66823,seeds/kg,0.00,kg,10.00,Organic,,,,,,,,,,Bunches,1.200 bn/row m,₪8.00/bn,28.8 Bunches,₪230.40,₪9.60/row m,Annual,,,,,,Jang JP-1,,,
Vegetables,Brassicaceae,Broccoli,Heading,Generic Variety,Transplant from Purchased,Head,,,,,,,,,04/12/2018,,42,01/04/2019,13/05/2019,12 bed m,"Ramim,Ra.3,Block R2,Beds 323",40.0,cm,2,,,,0,60,60,245,seeds/g,0.24,g,0.00,Organic,,,,,,,,,,Kilograms,1.191 kg/row m,₪16.00/kg,28.6 Kilograms,₪457.28,₪19.05/row m,Annual,,,,,,,,,
