Due Date,Date Completed,Task Name,Task Type,Assignees,Plantings Assigned,Location Assigned,Method,Sub-method,Input,Description,Manufacturer,OMRI,Application Rate Amount,Application Rate Amount Unit,Application Rate Area,Comments,Name Of Pest Identified,Number Of Minutes,Lines Of Drip,360 Pipe #Lines,360 Pipe Minutes,360 Pipe Heads Per Line,180 Pipe #Lines,180 Pipe Minutes,180 Pipe Heads Per Line,Total Inches,Total Gallons,Completed,Total Labor Hours
17/07/2018,26/03/2019,Transplant,Transplant,Garden Admin,Anise Hyssop אזוב מצוי 17/07/2018 ,"Home,HH,Block A,Beds 4",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
17/07/2018,28/03/2019,Transplant,Transplant,Garden Admin,Tarragon שיבה 17/07/2018 ,"Home,HH,Block A,Beds 4",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
17/07/2018,28/03/2019,Transplant,Transplant,Garden Admin,Sage Generic Variety 17/07/2018 ,"Home,HH,Block A,Beds 4",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
17/07/2018,26/03/2019,Transplant,Transplant,Garden Admin,Anise Hyssop אזוב מצוי 17/07/2018 ,"Ramim,Ra.1,Block L1,Beds 109",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
17/07/2018,28/03/2019,Transplant,Transplant,Garden Admin,Sage Common 17/07/2018 ,"Ramim,Ra.1,Block L1,Beds 109",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
17/07/2018,28/03/2019,Transplant,Transplant,Garden Admin,Tarragon שיבה 17/07/2018 ,"Ramim,Ra.1,Block L1,Beds 109",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
30/10/2018,26/03/2019,Transplant,Transplant,Garden Admin,Artichokes Generic Variety 30/10/2018 ,"Ramim,Ra.3,Block R3,Beds 331",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
13/11/2018,03/04/2019,,Direct Sow,"Garden Admin , Nimrod Wald",Arugula Arugula 13/11/2018 ,"Ramim,Ra.1,Block L6m,Beds 103",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
31/12/2018,28/03/2019,Greenhouse Sow,Greenhouse Sow,Garden Admin,Celery Gigante Dorato 31/12/2018 ,"Ramim,Ra.2,Block C1,Beds 215",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
31/12/2018,30/03/2019,Greenhouse Sow,Greenhouse Sow,Garden Admin,Lettuce Generic Variety 31/12/2018 ,"Ramim,Ra.1,Block L2,Beds 131",,,,,,,,,,,,,,,,,,,,0.0,0.0,Yes,
