Sow Date,Category,Crop,Crop Type,Variety,Days In Greenhouse,Transplant Date,# Of Flats,Flat Type,Seeds Per Cell,Number Of Transplants,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Estimated loss,Total Seeds needed,Average seed weight,Average seed weight unit,Total weight needed,Total seed weight needed unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Microgreens/Plant sale
,Vegetables,Kale,Kale,Lacinato (Dinosaur),,18/01/2018,0.0,,3,60.0,,,,,,,0,60,200,seeds/g,0.30,g,0.00,,,,,,,,,,,
24/06/2018,Vegetables,Chard,Chard,Bright Lights,35,29/07/2018,1.22,128 cell flats,2,156.0,,,,,,,30,313,66,seeds/g,4.74,g,0.00,Organic,,,,,,,,,,
05/07/2018,Vegetables,Kale,Kale,Lacinato (Dinosaur),33,07/08/2018,0.81,128 cell flats,3,104.0,,,,,,,30,311,200,seeds/g,1.56,g,0.00,,,,,,,,,,,
,Herbs,Anise Hyssop,Anise Hyssop,אזוב מצוי,,17/07/2018,0.0,,0,26.67,,,,,,,0,27,400,seeds/g,0.07,g,0.00,,,,,,,,,,,
,Herbs,Anise Hyssop,Anise Hyssop,אזוב מצוי,,17/07/2018,0.0,,0,26.67,,,,,,,0,27,400,seeds/g,0.07,g,0.00,,,,,,,,,,,
,Herbs,Tarragon,Tarragon,שיבה,,17/07/2018,0.0,,,26.67,,,,,,,0,27,0,,0.00,,0.00,,,,,,,,,,,
,Herbs,Sage,Sage,Generic Variety,,17/07/2018,0.0,,0,17.39,,,,,,,0,17,256,seeds/g,0.07,g,0.00,,,,,,,,,,,
,Herbs,Sage,Sage,Common,,17/07/2018,0.0,,,26.67,,,,,,,0,53,256,seeds/g,0.21,g,0.00,,,,,,,,,,,
,Herbs,Tarragon,Tarragon,שיבה,,17/07/2018,0.0,,0,26.67,,,,,,,0,13,0,,0.00,,0.00,,,,,,,,,,,
19/08/2018,Vegetables,Kale,Kale,Lacinato (Dinosaur),32,20/09/2018,0.61,128 cell flats,3,78.0,,,,,,,30,234,200,seeds/g,1.17,g,0.00,,,,,,,,,,,
21/08/2018,Vegetables,Chard,Chard,Fordhook Giant,30,20/09/2018,0.61,128 cell flats,2,78.0,,,,,,,30,156,66,seeds/g,2.36,g,0.00,,,,,,,,,,,
23/08/2018,Vegetables,Celeriac,Celeriac,Generic Variety,47,09/10/2018,1.01,310 cell flats,1,312.0,,,,,,,30,314,2349,seeds/g,0.13,g,0.00,Organic,,,,,,,,,,
,Herbs,Parsley,Parsley,Green Perle - מסולסלת,,04/09/2018,0.0,,,240.0,,,,,,,0,240,599,seeds/g,0.40,g,0.00,,,,,,,,,,,
19/09/2018,Vegetables,Leeks,Leeks,Generic Variety,69,27/11/2018,2.44,128 cell flats,1,312.0,,,,,,,30,313,303,seeds/g,1.03,g,0.00,,,,,,,,,,,
,Vegetables,Celery,Celery,Generic Variety,,24/09/2018,0.0,,,240.0,,,,,,,0,240,2372,seeds/g,0.10,g,0.00,Organic,,,,,,,,,,
27/09/2018,Vegetables,Onions: Scallions,Onions: Scallions,Generic Variety,68,04/12/2018,0.67,310 cell flats,8,208.0,,,,,,,30,1662,359795,seeds/g,0.00,g,0.00,,,,,,,,,,,
29/09/2018,Herbs,Cilantro,Cilantro,Santirini - נטע,46,14/11/2018,1.56,400 cell flats,6,624.0,,,,,,,30,3744,87,seeds/g,43.03,g,0.00,Organic,,,,,,,,,,
11/10/2018,Vegetables,Fennel,Fennel,Generic Variety,54,04/12/2018,1.01,310 cell flats,1,312.0,,,,,,,30,314,195,seeds/g,1.61,g,0.00,,,,,,,,,,,
16/10/2018,Vegetables,Celery,Celery,Generic Variety,86,10/01/2019,1.01,310 cell flats,2,312.0,,,,,,,30,627,2372,seeds/g,0.26,g,0.00,Organic,,,,,,,,,,
18/10/2018,Vegetables,Celeriac,Celeriac,Generic Variety,53,10/12/2018,1.01,310 cell flats,1,312.0,,,,,,,30,314,2349,seeds/g,0.13,g,0.00,Organic,,,,,,,,,,
18/10/2018,Vegetables,Celery,Celery,Generic Variety,75,01/01/2019,1.01,310 cell flats,2,312.0,,,,,,,30,627,2372,seeds/g,0.26,g,0.00,Organic,,,,,,,,,,
23/10/2018,Vegetables,Onions: Scallions,Onions: Scallions,Generic Variety,63,25/12/2018,0.67,310 cell flats,8,208.0,,,,,,,30,1662,359795,seeds/g,0.00,g,0.00,,,,,,,,,,,
,Vegetables,Artichokes,Artichokes,Generic Variety,,30/10/2018,0.0,,0,12.0,,,,,,,0,12,19,seeds/g,0.63,g,0.00,,,,,,,,,,,
,Vegetables,Celeriac,Celeriac,Generic Variety,,30/10/2018,0.0,,,240.0,,,,,,,0,240,2349,seeds/g,0.10,g,0.00,Organic,,,,,,,,,,
01/11/2018,Vegetables,Chard,Chard,Fordhook Giant,60,31/12/2018,0.46,128 cell flats,2,58.5,,,,,,,30,118,66,seeds/g,1.79,g,0.00,,,,,,,,,,,
01/11/2018,Vegetables,Kale,Kale,Lacinato (Dinosaur),60,31/12/2018,0.81,128 cell flats,3,104.0,,,,,,,30,311,200,seeds/g,1.56,g,0.00,,,,,,,,,,,
01/11/2018,Vegetables,Chard,Chard,Bright Lights,63,03/01/2019,0.61,128 cell flats,2,78.0,,,,,,,30,157,66,seeds/g,2.38,g,0.00,Organic,,,,,,,,,,
10/11/2018,Herbs,Cilantro,Cilantro,Santirini - נטע,47,27/12/2018,1.56,400 cell flats,6,624.0,,,,,,,30,3744,87,seeds/g,43.03,g,0.00,Organic,,,,,,,,,,
12/11/2018,Vegetables,Beets,Beets,Generic Variety,57,08/01/2019,0.75,310 cell flats,2,234.0,,,,,,,30,465,66823,seeds/kg,0.01,kg,0.00,Organic,,,,,,,,,,
12/11/2018,Herbs,Parsley,Parsley,Italian Flat,45,27/12/2018,0.78,400 cell flats,5,312.0,,,,,,,30,1560,599,seeds/g,2.60,g,0.00,,,,,,,,,,,
12/11/2018,Vegetables,Onions: Scallions,Onions: Scallions,Generic Variety,63,14/01/2019,0.5,310 cell flats,8,156.0,,,,,,,30,1240,359795,seeds/g,0.00,g,0.00,,,,,,,,,,,
13/11/2018,Herbs,Dill,Dill,Generic Variety,51,03/01/2019,2.01,310 cell flats,4,624.0,,,,,,,30,2493,607,seeds/g,4.11,g,0.00,,,,,,,,,,,
18/11/2018,Vegetables,Celery,Celery,Generic Variety,87,13/02/2019,1.01,310 cell flats,2,312.0,,,,,,,30,627,2372,seeds/g,0.26,g,0.00,Organic,,,,,,,,,,
,Vegetables,Lettuce,Bibb,מסולסלת מעורב,,18/11/2018,0.54,,3,167.5,,,,,,,0,120,875,seeds/g,0.14,g,0.00,,,,,,,,,,,
18/11/2018,Vegetables,Celeriac,Celeriac,Generic Variety,87,13/02/2019,0.5,310 cell flats,1,156.0,,,,,,,30,155,2349,seeds/g,0.07,g,0.00,Organic,,,,,,,,,,
20/11/2018,Vegetables,Cauliflower,Cauliflower,Generic Variety,35,25/12/2018,0.61,128 cell flats,1,78.0,,,,,,,30,79,227,seeds/g,0.35,g,0.00,Organic,,,,,,,,,,
27/11/2018,Herbs,Dill,Dill,Generic Variety,35,01/01/2019,1.56,400 cell flats,4,624.0,,,,,,,30,2496,607,seeds/g,4.11,g,0.00,,,,,,,,,,,
01/12/2018,Vegetables,Lettuce,Bibb,מסולסלת מעורב,31,01/01/2019,0.5,310 cell flats,1,156.0,,,,,,,30,155,1004,seeds/g,0.15,g,0.00,,,,,,,,,,,
03/12/2018,Vegetables,Cabbage,Cabbage,Generic Variety,58,30/01/2019,0.91,128 cell flats,1,117.0,,,,,,,30,117,250,seeds/g,0.47,g,0.00,Organic,,,,,,,,,,
,Vegetables,Cabbage,Cabbage,Generic Variety,,04/12/2018,0.0,,,60.0,,,,,,,0,60,204682,seeds/g,0.00,g,0.00,,,,,,,,,,,
,Vegetables,Cauliflower,Cauliflower,Generic Variety,,04/12/2018,0.61,128 cell flats,,78.0,,,,,,,30,78,227,seeds/g,0.34,g,0.00,Organic,,,,,,,,,,
,Vegetables,Lettuce,Romaine,Generic Variety,,04/12/2018,0.0,,3,160.0,,,,,,,0,160,875,seeds/g,0.18,g,0.00,,,,,,,,,,,
,Vegetables,Broccoli,Heading,Generic Variety,,04/12/2018,0.0,,,60.0,,,,,,,0,60,245,seeds/g,0.24,g,0.00,Organic,,,,,,,,,,
,Vegetables,Beets,Beets,Generic Variety,,10/12/2018,0.0,,,240.0,,,,,,,0,240,66823,seeds/kg,0.00,kg,0.00,Organic,,,,,,,,,,
13/12/2018,Herbs,Cilantro,Cilantro,Santirini - נטע,54,05/02/2019,2.08,400 cell flats,6,832.0,,,,,,,30,4992,87,seeds/g,57.38,g,0.00,Organic,,,,,,,,,,
13/12/2018,Herbs,Parsley,Parsley,Green Perle - מסולסלת,90,13/03/2019,1.56,400 cell flats,5,624.0,,,,,,,30,3120,599,seeds/g,5.21,g,0.00,,,,,,,,,,,
13/12/2018,Vegetables,Fennel,Fennel,Generic Variety,54,05/02/2019,1.01,310 cell flats,1,312.0,,,,,,,30,314,195,seeds/g,1.61,g,0.00,,,,,,,,,,,
15/12/2018,Vegetables,Lettuce,Romaine,Generic Variety,45,29/01/2019,0.67,310 cell flats,1,208.0,,,,,,,30,208,875,seeds/g,0.24,g,0.00,,,,,,,,,,,
15/12/2018,Vegetables,Kohlrabi,Kohlrabi,Generic Variety,44,28/01/2019,2.44,128 cell flats,1,312.0,,,,,,,30,312,210,seeds/g,1.49,g,0.00,,,,,,,,,,,
