Date,Creator,Note,Plantings,Location
14/12/2022,Nimrod Wald,"זרעים ישנים - נביטה חלשה- 
הוחלט להוריד מ4 ערוגות ל2 ולייצר מחזור נוסף.",Carrots in Zvika,
14/12/2022,Nimrod Wald,"זרעים ישנים - נביטה חלשה- 
הוחלט להוריד מ4 ערוגות ל2 ולייצר מחזור נוסף.",Carrots in Zvika,
21/11/2022,Nimrod Wald,"34ג
",Radishes in Ra.1,
21/11/2022,Nimrod Wald,"30ג זרעים. 
",Lettuce: Salad Mix in Ra.1,
26/10/2022,Nimrod Wald,לזרוע מגוון זנים,Winter Squash in Ra.4,
26/10/2022,Nimrod Wald,לשי לב - שתי צינורות לערוגה!!,Eggplant in Ra.1,
20/10/2022,Nimrod Wald,100g seeds,Cilantro in Ra.2,
20/10/2022,Nimrod Wald,"14 ג
",Radishes in Ra.1,
20/10/2022,Nimrod Wald,"Rainbow mix
מברשת למטה",Radishes in Ra.1,
05/10/2022,Nimrod Wald,96ג,Lettuce: Salad Mix in Ra.1,
05/10/2022,Nimrod Wald,100ג,Radishes in Ra.1,
29/09/2022,Nimrod Wald,"מזריוע סהכ 35 ג. 
קיבל גם תמצית פטריות
",Carrots in Zvika,
14/09/2022,Nimrod Wald,"שתי ערוגות מערביות - שום של הגינה, זריעה 13.9.22",Garlic in Zvika,
10/08/2022,Nimrod Wald,ייחורים מגידול שרי מורכב חישתיל.,,
27/06/2022,Nimrod Wald,19 ג זרעים,Radishes in Ra.1,
22/06/2022,Nimrod Wald,חצי עם דישון פטריות חדש,Radishes in Ra.1,
20/06/2022,Nimrod Wald,14ג זרעים,Lettuce: Salad Mix in Ra.1,
20/06/2022,Nimrod Wald,20ג זרעים,Arugula in Ra.1,
20/06/2022,Nimrod Wald,40ג זרעים,Lettuce: Salad Mix in Ra.1,
20/06/2022,Nimrod Wald,"בייבי סלק בולס באלד 232 ג
בייבי סלק רד צ׳ארד 263 ג",Beets in Ra.1,
25/05/2022,Nimrod Wald,חצי עם דישון פטריות חדש,Radishes in Ra.3,
28/04/2022,Nimrod Wald,ייחורים מגידול קודם לתעלות חדשות,Cress in Hyd. N,
27/04/2022,Nimrod Wald,52 ג זרעים,Lettuce: Salad Mix in Ra.2,
27/04/2022,Nimrod Wald,42 ג זרעים,Arugula in Ra.1,
27/04/2022,Nimrod Wald,"50 ג זרעים
",Lettuce: Salad Mix in Ra.1,
27/04/2022,Nimrod Wald,"ניסוי פטריות של סאם
302-303 עם טיפול
304 ללא 

לשים לב להשוות בקטיף",Winter Squash in Ra.3,
23/04/2022,Nimrod Wald,20 ג נזרע,Radishes in Ra.2,
