Parents Crop,Variety,Year,Total Seeds Needed,Total Weight Needed,Total Seed Weight Needed Unit,Planting,Planting Seed Needed,Planting Seed Weight Needed,Planting Seed Weight Needed Unit,Planting Extra Seed Order %,Planting Seed Spec
Amaranth (Vegetable),Generic Variety,2018,2500,5.0,g,"29/4/2019,  12 bed m, HH > C > Bed 18",2500,5.0,g,0.0,Organic
Artichokes,גבע - דור 2,2019,125,6.58,g,"14/11/2019,  36 bed m, HH > A > Beds 5-6 + 1 more Block",125,6.58,g,0.0,
Arugula,Arugula,2018,44880,30.08,g,"6/5/2019,  6 bed m, HH > C > Bed 15",3960,1.03,g,10.0,Organic
,,,,,,"19/6/2019,  12 bed m, Ra.2 > C1 > Bed 215",21120,5.52,g,10.0,Organic
,,,,,,"12/8/2019,  6 bed m, Ra.1 > L6m > Bed 101",10560,21.12,g,10.0,Organic
,,,,,,"28/8/2019,  6 bed m, Ra.2 > C1 > Bed 209",3960,1.03,g,10.0,Organic
,,,,,,"3/4/2019,  6 bed m, Ra.1 > L6m > Bed 102",5280,1.38,g,10.0,Organic
Arugula,Arugula,2019,22000,44.0,g,"13/10/2019,  8 bed m, HH > B > Bed 11",14080,28.16,g,10.0,Organic
,,,,,,"30/10/2019,  6 bed m, HH > C > Bed 14",7920,15.84,g,10.0,Organic
Arugula,Wild Rocket,2018,18481,4.82,g,"13/1/2019,  6 bed m, Ra.2 > C6m > Bed 208",3961,1.03,g,10.0,Organic
,,,,,,"4/6/2019,  6 bed m, Ra.1 > L2 > Bed 132",10560,2.76,g,10.0,Organic
,,,,,,"29/7/2019,  6 bed m, HH > C > Bed 17",3960,1.03,g,10.0,Organic
Arugula,Wild Rocket,2019,31680,15.84,g,"13/10/2019,  4 bed m, HH > B > Bed 11",21120,10.56,g,10.0,Organic
,,,,,,"4/12/2019,  6 bed m, Ra.1 > L6m > Bed 105",10560,5.28,g,10.0,Organic
Basil,Generic Variety,2018,268,0.3,g,"20/5/2019,  12 bed m, Ra.1 > L2 > Bed 131",60,0.07,g,0.0,Organic
,,,,,,"15/7/2019,  6 bed m, Ra.1 > L1 > Bed 113",208,0.23,g,0.0,Organic
Basil,Genovese,2018,756,0.82,g,"27/3/2019,  12 bed m, Ra.1 > L2 > Bed 132",0,0.0,g,0.0,Organic
,,,,,,"19/4/2019,  12 bed m, HH > C > Bed 13",756,0.82,g,0.0,Organic
Basil,יווני קטן,2018,626,0.68,g,"26/8/2019,  6 bed m, Ra.2 > C6m > Bed 205",626,0.68,g,0.0,Organic
Beans: Bush & Pole,1500 Year Old Cave,2018,264,66.0,g,"25/4/2019,  12 bed m, Ra.1 > L1 > Bed 111",264,66.0,g,10.0,Organic
Beans: Bush & Pole,California Black Eyed,2018,1820,330.13,kg,"24/6/2019,  10 bed m, Ra.1 > L1 > Bed 111",500,0.13,kg,0.0,Organic
,,,,,,"19/6/2019,  12 bed m, Ra.1 > L2 > Bed 130",1320,330.0,kg,10.0,Organic
Beans: Bush & Pole,Dwarf bean wonder of Piedmont,2018,132,33.0,g,"17/4/2019,  12 bed m, Ra.3 > R1 > Bed 311",132,33.0,g,10.0,Organic
Beans: Bush & Pole,fagiolo nano - franchise,2018,1320,0.34,kg,"10/7/2019,  12 bed m, Ra.3 > R1 > Bed 306",1320,0.34,kg,10.0,Organic
Beans: Bush & Pole,Thai Soldier,2018,264,0.07,g,"1/5/2019,  12 bed m, Ra.3 > R1 > Bed 310",264,0.07,g,10.0,Organic
