Date,Planting Name,Crop,Amount,Unit,Outlet Type,Outlet Name,Harvest Stage,Final Harvest
12/02/2019,Lettuce מסולסלת מעורב 18/11/2018 Ra.1 > L2 > Bed 121 12 bed m,Lettuce,,,,Unknown outlet,Full-Size,Yes
09/03/2019,Arugula Arugula 13/11/2018 Ra.1 > L6m > Bed 103 6 bed m,Arugula,,,Farmers Market,הדוכן יום ב,Baby Leaf,Yes
09/03/2019,Arugula Arugula 13/11/2018 Ra.1 > L6m > Bed 103 6 bed m,Arugula,,,,Unknown outlet,Baby Leaf,Yes
09/03/2019,Arugula Arugula 13/11/2018 Ra.1 > L6m > Bed 103 6 bed m,Arugula,,,Farmers Market,קטיף יום ה,Baby Leaf,Yes
01/04/2019,Anise Hyssop אזוב מצוי 17/07/2018 HH > A > Bed 4 4 bed m,Anise Hyssop,20.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Anise Hyssop אזוב מצוי 17/07/2018 Ra.1 > L1 > Bed 109 4 bed m,Anise Hyssop,20.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Beets Generic Variety 10/12/2018 Ra.3 > R2 > Bed 326 12 bed m,Beets,12.0,Bunches,,Unknown outlet,Full-Size Root,No
01/04/2019,Beets MIX עלי ביבי 14/11/2018 Ra.1 > L6m > Bed 105 6 bed m,Beets,2.0,Kilograms,,Unknown outlet,Baby Leaf Greens,No
01/04/2019,Broccoli Generic Variety 04/12/2018 Ra.3 > R2 > Bed 323 12 bed m,Broccoli,10.0,Kilograms,,Unknown outlet,Head,No
01/04/2019,Cabbage Generic Variety 04/12/2018 Ra.3 > R2 > Bed 325 12 bed m,Cabbage,6.0,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,Carrots Nantes Half Long 04/11/2018 HH > C > Bed 14 12 bed m,Carrots,8.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Carrots Nantes Half Long 04/11/2018 HH > C > Bed 14 12 bed m,Carrots,5.0,Cases,,Unknown outlet,Full-Size,No
01/04/2019,Carrots Nantes Half Long 04/11/2018 HH > C > Bed 14 12 bed m,Carrots,16.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Carrots Nantes Half Long 04/11/2018 HH > C > Bed 14 12 bed m,Carrots,8.0,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,Celeriac Generic Variety 23/08/2018 Ra.3 > R1 > Bed 314 12 bed m,Celeriac,6.0,Each,,Unknown outlet,,No
01/04/2019,Celery Generic Variety 24/09/2018 Ra.2 > C1 > Bed 210 12 bed m,Celery,10.0,Each,,Unknown outlet,Full-Size,No
01/04/2019,Chard Bright Lights 01/11/2018 Ra.1 > L6m > Bed 101 6 bed m,Chard,8.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Chard Bright Lights 24/06/2018 Ra.1 > L2 > Bed 124 12 bed m,Chard,10.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Chard Fordhook Giant 01/11/2018 HH > A > Bed 5 6 bed m,Chard,8.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Chard Fordhook Giant 21/08/2018 HH > B > Bed 7 6 bed m,Chard,8.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Cilantro Santirini - נטע 10/11/2018 Ra.3 > R6m > Bed 301 6 bed m,Cilantro,20.0,Bunches,,Unknown outlet,Leaf,No
01/04/2019,Cilantro Santirini - נטע 29/09/2018 Ra.3 > R6m > Bed 302 6 bed m,Cilantro,20.0,Bunches,,Unknown outlet,Leaf,No
01/04/2019,"Dill Generic Variety 27/11/2018 Ra.1 > L1 > Beds 116, 118 6 bed m",Dill,6.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Fennel Generic Variety 11/10/2018 Ra.3 > R2 > Bed 328 12 bed m,Fennel,3.0,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,Fennel Generic Variety 25/12/2018 Ra.2 > C2 > Bed 226 6 bed m,Fennel,3.0,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,Garlic שני - מהגינה 23/09/2018 HH > B > Beds 9-12 48 bed m,Garlic,25.0,Kilograms,,Unknown outlet,Bulb,No
01/04/2019,Kale Lacinato (Dinosaur) 05/07/2018 HH > A > Bed 5 6 bed m,Kale,6.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Kale Lacinato (Dinosaur) 18/01/2018 HH > A > Bed 6 6 bed m,Kale,6.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Kale Lacinato (Dinosaur) 19/08/2018 HH > B > Bed 7 6 bed m,Kale,6.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Kale Red Russian 21/11/2018 Ra.1 > L1 > Bed 112 3 bed m,Kale,0.5,Kilograms,,Unknown outlet,Baby Leaf,No
01/04/2019,Kohlrabi Generic Variety 15/12/2018 Ra.3 > R2 > Bed 320 12 bed m,Kohlrabi,3.0,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,Kohlrabi Generic Variety 25/12/2018 Ra.2 > C2 > Bed 217 8 bed m,Kohlrabi,3.0,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,Lettuce Generic Variety 04/12/2018 Ra.3 > R1 > Bed 310 12 bed m,Lettuce,15.0,Heads,,Unknown outlet,Full-Size,No
01/04/2019,Lettuce מסולסלת מעורב 01/12/2018 Ra.1 > L1 > Bed 116 8 bed m,Lettuce,20.0,Heads,,Unknown outlet,Full-Size,No
01/04/2019,Lettuce: Salad Mix Generic Variety 10/12/2018 Ra.1 > L1 > Bed 115 6 bed m,Lettuce: Salad Mix,4.0,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,Lettuce: Salad Mix Sativa L. 1836 14/11/2018 Ra.1 > L6m > Bed 104 6 bed m,Lettuce: Salad Mix,6.0,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,Lettuce: Salad Mix Sativa L. 1836 21/11/2018 Ra.1 > L1 > Bed 112 6 bed m,Lettuce: Salad Mix,2.0,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,"Lettuce: Salad Mix מיקס שלנו, דמוי בן שחר 01/01/2019 HH > C > Bed 16 6 bed m",Lettuce: Salad Mix,0.5,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,Mizuna Generic Variety 10/01/2019 Ra.1 > L1 > Bed 112 3 bed m,Mizuna,1.0,Kilograms,,Unknown outlet,Baby Leaf,No
01/04/2019,Mizuna Generic Variety 10/12/2018 Ra.1 > L1 > Bed 115 3 bed m,Mizuna,1.0,Kilograms,,Unknown outlet,Baby Leaf,No
01/04/2019,Mustard Generic Variety 10/12/2018 Ra.1 > L1 > Bed 115 3 bed m,Mustard,0.5,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,Onions: Scallions Generic Variety 27/09/2018 Ra.1 > L1 > Bed 110 4 bed m,Onions: Scallions,6.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Parsley Green Perle - מסולסלת 04/09/2018 Ra.2 > C6m > Bed 207 6 bed m,Parsley,50.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Parsley Italian Flat 12/11/2018 Ra.3 > R6m > Bed 304 6 bed m,Parsley,20.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Peas Kelvedon Wonder 10/01/2019 Ra.1 > L1 > Bed 111 12 bed m,Peas,1.0,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,"Peas Tall Telephone 18/10/2018 HH > C > Beds 13, 15 24 bed m",Peas,15.0,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,Peas Tall Telephone 18/12/2018 HH > C > Bed 18 12 bed m,Peas,5.0,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,Radishes French Breakfast 25/02/2019 Ra.3 > R3 > Bed 330 12 bed m,Radishes,12.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Spinach Generic Variety 23/10/2018 Ra.1 > L2 > Bed 122 12 bed m,Spinach,10.0,Kilograms,,Unknown outlet,Full-Size,No
01/04/2019,Spinach Giant Winter 26/12/2018 Ra.2 > C2 > Bed 224 12 bed m,Spinach,6.0,Bunches,,Unknown outlet,Full-Size,No
01/04/2019,Turnips lodigiana לבן שטוח 10/12/2018 Ra.1 > L1 > Bed 118 3 bed m,Turnips,10.0,Bunches,,Unknown outlet,Full-Size,No
