Crop,Variety,Harvest Stage,Yield,Planned Pick,Ordered Amount
Amaranth (Vegetable),,Baby Leaf,76.50 cs,79.00 cs,85.00 cs
Amaranth (Vegetable),הודי אדום,Baby Leaf,76.50 cs,,
Anise Hyssop,,Full-Size,271.00 bn,289.00 bn,230.00 bn
Anise Hyssop,אזוב מצוי,Full-Size,62.00 bn,,
Artichokes,,,28.10 kg,20.00 kg,20.00 kg
Artichokes,Wonder,,13.30 kg,,
Arugula,,Baby Leaf,77.01 kg,339.67 kg,324.00 kg
Arugula,Arugula,Baby Leaf,57.52 kg,,
Arugula,hyd. Rocket,Baby Leaf,7.91 kg,,
Arugula,Wild Rocket,Baby Leaf,2.91 kg,,
Arugula,,Microgreen,,4.00 cs,4.00 cs
Basil,,Full-Size,52.33 cs,631.67 cs,611.67 cs
Basil,hyd. Prospera,Full-Size,52.33 cs,,
Basil,,Plant Sale,200.00 pl,,
Basil,hyd. Prospera,Plant Sale,200.00 pl,,
Bay,,,77.00 cs,55.00 cs,55.00 cs
Bay,אר אציל-דפנה,,77.00 cs,,
Beans: Bush & Pole,,Fresh,8.40 kg,44.30 kg,40.80 kg
Beans: Bush & Pole,California Black Eyed,Fresh,6.50 kg,,
Beans: Bush & Pole,Hilda - שטוחה מטפסת,Fresh,1.90 kg,,
Beans: Bush & Pole,,Plant Sale,50.00 pl,,
Beans: Bush & Pole,Thai Soldier,Plant Sale,50.00 pl,,
Beets,,Baby Leaf Greens,5.90 kg,101.50 kg,101.50 kg
Beets,MIX עלי ביבי,Baby Leaf Greens,5.90 kg,,
Beets,,Full-Size Root,12.00 bn,262.00 bn,254.00 bn
Beets,Chioggia Guardsmark,Full-Size Root,12.00 bn,,
Beets,,Plant Sale,100.00 pl,,
Beets,Generic Variety,Plant Sale,100.00 pl,,
Broccoli,,Full-Size,56.50 kg,51.00 kg,51.00 kg
Broccoli,,Head,14.70 kg,50.00 kg,50.00 kg
Broccoli,Cavolo Broccolo,Head,11.20 kg,,
Broccoli,Partenon,Head,2.20 kg,,
Cabbage,,Full-Size,22.30 kg,328.00 kg,316.00 kg
Cabbage,בלאדי שטוח,Full-Size,1.00 kg,,
Cabbage,פרוקטור,Full-Size,6.00 kg,,
Carrots,,Full-Size,121.27 bn,554.00 bn,464.00 bn
Carrots,Nantes Half Long,Full-Size,109.27 bn,,
Celery,,Full-Size,123.00 bn,922.00 bn,891.00 bn
Celery,hyd. Early Bell,Full-Size,101.00 bn,,
Celery,hyd. Giant Dorato,Full-Size,16.00 bn,,
Celery,ספרטקוס,Full-Size,6.00 bn,,
Celery,,Plant Sale,100.00 pl,,
Celery,Generic Variety,Plant Sale,100.00 pl,,
Chard,,Full-Size,136.00 bn,899.00 bn,900.00 bn
Chard,Bright Lights,Full-Size,33.20 bn,,
Chard,Fordhook Giant,Full-Size,7.20 bn,,
Chard,Hyd. Fordhook Giant,Full-Size,6.00 bn,,
Chard,hyd. מונופולי - ראש,Full-Size,65.00 bn,,
Chard,Silverado,Full-Size,1.20 bn,,
Chard,מונופולי - ראש,Full-Size,1.20 bn,,
Chard,מונופולי - ראש (שדה),Full-Size,12.00 bn,,
Chard,נפולי - ראש,Full-Size,1.20 bn,,
Chinese Lantern,,,13.48 kg,23.12 kg,22.12 kg
Chinese Lantern,שלפח-גולדן ברי,,7.33 kg,,
Chives,,Full-Size,566.00 bn,618.00 bn,617.00 bn
Chives,Common,Full-Size,55.50 bn,,
Chives,Garlic Geisha,Full-Size,64.00 bn,,
Chives,hyd. common,Full-Size,19.50 bn,,
Chives,hyd. עירית שומית,Full-Size,93.00 bn,,
Chives,,Plant Sale,150.00 pl,,
Chives,Common,Plant Sale,100.00 pl,,
Chives,Garlic Geisha,Plant Sale,50.00 pl,,
Cilantro,,Coriander,17.00 bn,,
Cilantro,Santirini - נטע,Coriander,17.00 bn,,
Cilantro,,Leaf,211.00 bn,884.00 bn,860.00 bn
Cilantro,Coriander Leisure,Leaf,43.00 bn,,
Cilantro,hyd. Santoriny,Leaf,137.00 bn,,
Cilantro,hyd. רימיני 77,Leaf,2.00 bn,,
Cilantro,Santirini - נטע,Leaf,27.00 bn,,
Cilantro,רימיני 77,Leaf,2.00 bn,,
Cilantro,,Plant Sale,300.00 pl,,
Cilantro,hyd. Santoriny,Plant Sale,300.00 pl,,
Cress,,Full-Size,232.00 cs,477.00 cs,453.00 cs
Cress,hyd. גרגר הנחלים,Full-Size,32.00 cs,,
Cucumbers,,,166.20 kg,127.00 kg,128.00 kg
Cucumbers,Beit Alpha MR,,59.40 kg,,
Cucumbers,hyd.  נטע,,21.10 kg,,
Cucumbers,hyd. Beit Alpha,,36.00 kg,,
Dill,,Full-Size,17.00 bn,,
Dill,hyd. Dukat,Full-Size,17.00 bn,,
Dill,,Leaf,119.00 bn,430.00 bn,430.00 bn
Dill,Dukat,Leaf,1.50 bn,,
Dill,hyd. Dukat,Leaf,44.50 bn,,
Dill,hyd. Emilya,Leaf,3.50 bn,,
Dill,אמליה,Leaf,1.50 bn,,
Eggplant,,,21.90 kg,118.00 kg,118.00 kg
Eggplant,Meatball,,17.70 kg,,
Eggplant,Ping Tung Long,,4.20 kg,,
Fennel,,Full-Size,92.50 kg,290.00 kg,293.00 kg
Fennel,Orion,Full-Size,75.50 kg,,
Garlic,,Bulb,55.00 kg,,
