Category,Product Name,Unit,Total Qty Sold,Total Refunded Qty,Gross Sales,Net Sales,Shopify - Gross Sales,Online Store - Gross Sales,Offer Sheet - Gross Sales
בייבי,בייבי מיקס,kg,214,0.0,,"₪10,040.00",₪0.00,"₪9,590.00",₪450.00
בייבי,בייבי - רוקט,kg,93,0.0,,"₪4,898.00",₪0.00,"₪4,590.00",₪308.00
ירק,(ירק) בצל ירוק,bn,637,0.0,,"₪3,645.50",₪0.00,"₪3,506.00",₪139.50
תבלינים,כורכום,kg,45,0.0,,"₪3,600.00",₪0.00,"₪3,600.00",₪0.00
תבלינים,היביסקוס אדום,g,2498,0.0,,"₪2,498.00",₪0.00,"₪2,498.00",₪0.00
ירקות,צנונית,bn,372,0.0,,"₪2,232.00",₪0.00,"₪2,112.00",₪120.00
ירקות,חיקמה,kg,145,0.0,,"₪2,185.00",₪0.00,"₪2,185.00",₪0.00
ירק,(ירק) פטרוזיליה,bn,443,0.0,,"₪1,991.00",₪0.00,"₪1,896.50",₪94.50
חסה,(חסה) רומית,hd,384,0.0,,"₪1,920.00",₪0.00,"₪1,790.00",₪130.00
חסה,(חסה) סלנובה,cs,338,0.0,,"₪1,690.00",₪0.00,"₪1,515.00",₪175.00
בייבי,בייבי נפרדים,kg,40,0.0,,"₪1,550.00",₪0.00,"₪1,550.00",₪0.00
ירקות,ארטישוק ירושלמי,kg,33,0.0,,"₪1,320.00",₪0.00,"₪1,320.00",₪0.00
ירק,סלרי,bn,165,0.0,,"₪1,320.00",₪0.00,"₪1,320.00",₪0.00
ירקות,כרישה,bn,113,0.0,,"₪1,180.00",₪0.00,"₪1,084.00",₪96.00
ירק,תרד ניוזילנדי,kg,47,0.0,,"₪1,166.00",₪0.00,"₪1,086.00",₪80.00
ירק,מנגולד צרור,bn,130,0.0,,"₪1,118.00",₪0.00,"₪1,018.00",₪100.00
ירקות,שומר,kg,115,0.0,,"₪1,035.00",₪0.00,₪945.00,₪90.00
בייבי,בייבי סלק,kg,21,0.0,,₪974.00,₪0.00,₪900.00,₪74.00
ירק,קייל,bn,126,0.0,,₪968.00,₪0.00,₪872.00,₪96.00
פירות,תפוז,kg,115,0.0,,₪951.00,₪0.00,₪951.00,₪0.00
ירקות,צנון,bn,147,0.0,,₪882.00,₪0.00,₪846.00,₪36.00
ירק,גרגר הנחלים,cs,112,0.0,,₪848.00,₪0.00,₪848.00,₪0.00
ירקות,גזר,bn,79,0.0,,₪790.00,₪0.00,₪670.00,₪120.00
ירקות,סלק,bn,98,0.0,,₪784.00,₪0.00,₪736.00,₪48.00
ירק,(ירק) כוסברה,bn,143,0.0,,₪715.00,₪0.00,₪655.00,₪60.00
בייבי,בייבי מיקס,cs,56,0.0,,₪672.00,₪0.00,₪672.00,₪0.00
ירקות,קולרבי,kg,84,0.0,,₪672.00,₪0.00,₪592.00,₪80.00
חסה,(חסה) מסולסלת,hd,143,0.0,,₪660.00,₪0.00,₪660.00,₪0.00
תבלינים,תבלין - נענע,bn,130,0.0,,₪650.00,₪0.00,₪595.00,₪55.00
ירק,(ירק) עירית שומית,bn,118,0.0,,₪590.00,₪0.00,₪530.00,₪60.00
בייבי,בייבי - רוקט,bn,71,0.0,,₪568.00,₪0.00,₪488.00,₪80.00
ירק,מנגולד ראש,hd,229,0.0,,₪538.00,₪0.00,₪538.00,₪0.00
ירקות,עגבניה שרי,kg,22,0.0,,₪502.00,₪0.00,₪484.00,₪18.00
ירקות,מלפפון,kg,42,0.0,,₪462.00,₪0.00,₪462.00,₪0.00
ירק,בזיל,cs,57,0.0,,₪456.00,₪0.00,₪344.00,₪112.00
תבלינים,תבלין - אזוב,bn,84,0.0,,₪420.00,₪0.00,₪395.00,₪25.00
ירקות,כרוב,kg,40,0.0,,₪400.00,₪0.00,₪320.00,₪80.00
ירק,לאושטיאן,bn,61,0.0,,₪392.00,₪0.00,₪392.00,₪0.00
ירקות,ברוקולי,kg,26,0.0,,₪390.00,₪0.00,₪390.00,₪0.00
חסה,(חסה) חמאה,hd,74,0.0,,₪370.00,₪0.00,₪340.00,₪30.00
ירקות,פלפל חריף,kg,10,0.0,,₪360.00,₪0.00,₪330.00,₪30.00
ירק,(ירק) עירית בצלית,bn,63,0.0,,₪315.00,₪0.00,₪285.00,₪30.00
פירות,תות שדה,kg,7,0.0,,₪300.00,₪0.00,₪300.00,₪0.00
תבלינים,תבלין - מרווה,bn,58,0.0,,₪290.00,₪0.00,₪275.00,₪15.00
ירק,אמרנט - תרד הודי,cs,70,0.0,,₪282.00,₪0.00,₪282.00,₪0.00
ירקות,לפת צרור,bn,92,0.0,,₪216.00,₪0.00,₪216.00,₪0.00
חסה,(חסה) אייסברג,hd,39,0.0,,₪208.50,₪0.00,₪208.50,₪0.00
ירקות,עגבניה,kg,43,0.0,,₪204.00,₪0.00,₪204.00,₪0.00
ירק,(ירק) שמיר,bn,40,0.0,,₪200.00,₪0.00,₪160.00,₪40.00
ירק,פאק צוי,cs,18,0.0,,₪144.00,₪0.00,₪144.00,₪0.00
בייבי,בייבי נפרדים,cs,14,0.0,,₪112.00,₪0.00,₪112.00,₪0.00
תבלינים,תבלין - עלי דפנה,cs,26,0.0,,₪96.00,₪0.00,₪96.00,₪0.00
תבלינים,תבלין - לואיזה,bn,33,0.0,,₪90.00,₪0.00,₪90.00,₪0.00
תבלינים,גינגר,kg,1,0.0,,₪60.00,₪0.00,₪60.00,₪0.00
תבלינים,תימין - קורנית מקורקפת,bn,11,0.0,,₪55.00,₪0.00,₪55.00,₪0.00
נבטים,מוצרי מכולת - מגוון,ea,12,0.0,,₪45.00,₪0.00,₪52.65,₪0.00
